frame,id,x1,y1,x2,y2
1247,147,1235,549,1307,616
1247,148,207,696,361,787
1248,147,1240,557,1315,624
1248,148,237,683,380,768
1249,147,1246,562,1325,631
1249,148,262,669,399,752
125,24,1346,883,1550,1070
125,26,1171,507,1224,559
1250,147,1256,570,1333,640
1250,148,287,657,417,738
1250,150,1067,434,1104,464
1251,147,1261,576,1345,650
1251,148,310,645,435,724
1251,150,1068,437,1104,469
1252,147,1267,583,1353,658
1252,148,332,636,449,710
1252,150,1068,441,1105,474
1253,147,1276,588,1365,668
1253,148,353,624,464,699
1253,150,1070,443,1107,476
1254,147,1284,593,1376,676
1254,148,372,613,478,688
1254,150,1070,446,1109,478
1255,147,1291,601,1388,688
1255,148,387,605,491,677
1255,150,1071,446,1111,482
1256,147,1301,610,1402,700
1256,148,406,597,503,665
1256,150,1071,447,1114,485
1257,147,1310,620,1415,712
1257,148,421,588,519,656
1257,150,1072,449,1117,489
1258,147,1320,629,1430,724
1258,148,437,581,530,646
1258,150,1074,452,1118,491
1259,147,1331,640,1444,739
1259,148,451,576,541,636
1259,150,1075,456,1120,495
126,24,1374,920,1584,1080
126,26,1176,509,1230,563
1260,147,1342,646,1460,751
1260,148,461,566,551,630
1260,150,1076,456,1120,498
1261,147,1355,660,1480,768
1261,148,476,560,559,620
1261,150,1077,458,1122,502
1262,147,1369,672,1499,784
1262,148,487,557,570,612
1262,150,1079,461,1124,505
1263,147,1383,683,1518,801
1263,148,499,550,581,606
1263,150,1080,466,1125,508
1264,147,1398,696,1540,821
1264,148,511,547,592,603
1264,150,1080,469,1126,512
1265,147,1414,710,1564,841
1265,148,521,540,598,597
1265,150,1082,471,1128,515
1266,147,1432,724,1590,864
1266,148,530,536,604,589
1266,150,1083,473,1131,520
1267,147,1452,739,1620,889
1267,148,543,532,611,583
1267,150,1086,477,1134,524
1268,147,1472,758,1652,914
1268,148,552,530,618,576
1268,150,1090,478,1136,527
1269,147,1493,776,1686,941
1269,148,559,524,627,571
1269,150,1092,483,1139,532
127,26,1179,512,1235,568
1270,147,1519,795,1723,972
1270,148,569,518,637,564
1270,150,1094,488,1141,537
1271,147,1545,819,1764,1008
1271,148,578,514,644,559
1271,150,1095,490,1145,542
1272,147,1574,845,1814,1046
1272,148,585,511,648,556
1272,150,1094,495,1148,548
1273,147,1606,872,1871,1073
